대분류,소분류,연도,창업기업수
"농업, 임업 및 어업 및 광업",소계,2022,15752
제조업,소계,2022,41595
제조업,음식료품 및 음료,2022,5985
제조업,섬유 및 가죽,2022,5455
제조업,목재 가구 및 종이제품,2022,2787
제조업,인쇄 및 기록매체 복제업,2022,879
제조업,고무 및 화학제품,2022,3996
제조업,기계 금속,2022,11395
제조업,전기. 전자 및 정밀기기,2022,5992
제조업,자동차 및 운송장비,2022,2627
제조업,기타제조업,2022,2479
"전기, 가스, 증기 및 공기 조절 공급업",소계,2022,23773
건설업,소계,2022,67271
서비스업,소계,2022,1169088
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2022,704
서비스업,도매 및 소매업,2022,456426
서비스업,운수 및 창고업,2022,65798
서비스업,숙박 및 음식점업,2022,156489
서비스업,정보통신업,2022,46041
서비스업,금융 및 보험업,2022,8541
서비스업,부동산업,2022,205761
서비스업,전문 과학 및 기술 서비스업,2022,58035
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2022,39291
서비스업,교육 서비스업,2022,42536
서비스업,보건업 및 사회복지 서비스업,2022,4815
서비스업,예술 스포츠 및 여가관련 서비스업,2022,28318
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2022,56333
합계,소계,2023,1238617
합계,기술기반업종,2023,221436
"농업, 임업 및 어업 및 광업",소계,2023,14250
제조업,소계,2023,37280
제조업,음식료품 및 음료,2023,5433
제조업,섬유 및 가죽,2023,4639
제조업,목재 가구 및 종이제품,2023,2373
제조업,인쇄 및 기록매체 복제업,2023,782
제조업,고무 및 화학제품,2023,3537
제조업,기계 금속,2023,10273
제조업,전기. 전자 및 정밀기기,2023,5178
제조업,자동차 및 운송장비,2023,2643
제조업,기타제조업,2023,2422
"전기, 가스, 증기 및 공기 조절 공급업",소계,2023,31546
건설업,소계,2023,61514
서비스업,소계,2023,1094027
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2023,690
서비스업,도매 및 소매업,2023,450194
서비스업,운수 및 창고업,2023,61241
서비스업,숙박 및 음식점업,2023,169188
서비스업,정보통신업,2023,44870
서비스업,금융 및 보험업,2023,6557
서비스업,부동산업,2023,126685
서비스업,전문 과학 및 기술 서비스업,2023,52805
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2023,43023
서비스업,교육 서비스업,2023,44622
서비스업,보건업 및 사회복지 서비스업,2023,4540
서비스업,예술 스포츠 및 여가관련 서비스업,2023,27661
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2023,61951
합계,소계,2024,1182905
합계,기술기반업종,2024,214917
"농업, 임업 및 어업 및 광업",소계,2024,14267
제조업,소계,2024,35087
제조업,음식료품 및 음료,2024,5393
제조업,섬유 및 가죽,2024,4341
제조업,목재 가구 및 종이제품,2024,2110
제조업,인쇄 및 기록매체 복제업,2024,813
제조업,고무 및 화학제품,2024,3516
제조업,기계 금속,2024,9348
제조업,전기. 전자 및 정밀기기,2024,4777
제조업,자동차 및 운송장비,2024,2465
제조업,기타제조업,2024,2324
"전기, 가스, 증기 및 공기 조절 공급업",소계,2024,32245
건설업,소계,2024,60497
서비스업,소계,2024,1040809
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2024,792
서비스업,도매 및 소매업,2024,418280
서비스업,운수 및 창고업,2024,61572
서비스업,숙박 및 음식점업,2024,156134
서비스업,정보통신업,2024,40481
서비스업,금융 및 보험업,2024,6876
서비스업,부동산업,2024,115778
서비스업,전문 과학 및 기술 서비스업,2024,54099
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2024,44293
서비스업,교육 서비스업,2024,44889
서비스업,보건업 및 사회복지 서비스업,2024,4717
서비스업,예술 스포츠 및 여가관련 서비스업,2024,25965
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2024,66933
합계,소계,2025,1135561
합계,기술기반업종,2025,221063
"농업, 임업 및 어업 및 광업",소계,2025,14873
제조업,소계,2025,32246
제조업,음식료품 및 음료,2025,4818
제조업,섬유 및 가죽,2025,4158
제조업,목재 가구 및 종이제품,2025,1988
제조업,인쇄 및 기록매체 복제업,2025,684
제조업,고무 및 화학제품,2025,3312
제조업,기계 금속,2025,8340
제조업,전기. 전자 및 정밀기기,2025,4534
제조업,자동차 및 운송장비,2025,2093
제조업,기타제조업,2025,2319
"전기, 가스, 증기 및 공기 조절 공급업",소계,2025,22836
건설업,소계,2025,55749
서비스업,소계,2025,1009857
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2025,885
서비스업,도매 및 소매업,2025,410825
서비스업,운수 및 창고업,2025,60489
서비스업,숙박 및 음식점업,2025,137671
서비스업,정보통신업,2025,47556
서비스업,금융 및 보험업,2025,8657
서비스업,부동산업,2025,105263
서비스업,전문 과학 및 기술 서비스업,2025,56809
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2025,43465
서비스업,교육 서비스업,2025,45209
서비스업,보건업 및 사회복지 서비스업,2025,4237
서비스업,예술 스포츠 및 여가관련 서비스업,2025,25577
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2025,63214
