대분류,소분류,연도,창업기업수
건설업,소계,2023,7481
서비스업,소계,2023,76857
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2023,234
서비스업,도매 및 소매업,2023,28243
서비스업,운수 및 창고업,2023,1641
서비스업,숙박 및 음식점업,2023,2160
서비스업,정보통신업,2023,8183
서비스업,금융 및 보험업,2023,3154
서비스업,부동산업,2023,8830
서비스업,전문 과학 및 기술 서비스업,2023,14332
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2023,6142
서비스업,교육 서비스업,2023,1842
서비스업,보건업 및 사회복지 서비스업,2023,68
서비스업,예술 스포츠 및 여가관련 서비스업,2023,1091
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2023,937
합계,소계,2024,99755
합계,기술기반업종,2024,39628
"농업, 임업 및 어업 및 광업",소계,2024,1764
제조업,소계,2024,10981
제조업,음식료품 및 음료,2024,1026
제조업,섬유 및 가죽,2024,877
제조업,목재 가구 및 종이제품,2024,590
제조업,인쇄 및 기록매체 복제업,2024,157
제조업,고무 및 화학제품,2024,1563
제조업,기계 금속,2024,3035
제조업,전기. 전자 및 정밀기기,2024,2104
제조업,자동차 및 운송장비,2024,1164
제조업,기타제조업,2024,465
"전기, 가스, 증기 및 공기 조절 공급업",소계,2024,489
건설업,소계,2024,7247
서비스업,소계,2024,79274
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2024,204
서비스업,도매 및 소매업,2024,32006
서비스업,운수 및 창고업,2024,1521
서비스업,숙박 및 음식점업,2024,2182
서비스업,정보통신업,2024,8257
서비스업,금융 및 보험업,2024,3612
서비스업,부동산업,2024,7964
서비스업,전문 과학 및 기술 서비스업,2024,13985
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2024,5822
서비스업,교육 서비스업,2024,1627
서비스업,보건업 및 사회복지 서비스업,2024,60
서비스업,예술 스포츠 및 여가관련 서비스업,2024,1081
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2024,953
합계,소계,2025,98116
합계,기술기반업종,2025,39246
"농업, 임업 및 어업 및 광업",소계,2025,1665
제조업,소계,2025,10116
제조업,음식료품 및 음료,2025,1043
제조업,섬유 및 가죽,2025,820
제조업,목재 가구 및 종이제품,2025,540
제조업,인쇄 및 기록매체 복제업,2025,122
제조업,고무 및 화학제품,2025,1467
제조업,기계 금속,2025,2624
제조업,전기. 전자 및 정밀기기,2025,2134
제조업,자동차 및 운송장비,2025,934
제조업,기타제조업,2025,432
"전기, 가스, 증기 및 공기 조절 공급업",소계,2025,486
건설업,소계,2025,6210
서비스업,소계,2025,79639
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2025,160
서비스업,도매 및 소매업,2025,31691
서비스업,운수 및 창고업,2025,1402
서비스업,숙박 및 음식점업,2025,2181
서비스업,정보통신업,2025,8713
서비스업,금융 및 보험업,2025,5143
서비스업,부동산업,2025,6875
서비스업,전문 과학 및 기술 서비스업,2025,14044
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2025,5752
서비스업,교육 서비스업,2025,1654
서비스업,보건업 및 사회복지 서비스업,2025,88
서비스업,예술 스포츠 및 여가관련 서비스업,2025,1031
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2025,905
